logFC logCPM PValue FDR
VIT_19s0090g01710 2.92847987130839 2.75853257557133 1.11280632489983e-82 2.64714368567171e-78
VIT_13s0067g03010 6.34791734723609 0.365255564687905 4.44704666597575e-80 5.28931730451156e-76
VIT_04s0044g01490 6.51916030896637 2.38762034541349 1.57636473276685e-76 1.24995214210193e-72
VIT_18s0072g00530 5.38040999150763 -0.178343695589704 6.14042736245698e-68 3.65171215245317e-64
VIT_07s0031g00950 6.82910006552345 -0.150121687215239 2.31608888110216e-61 1.10190244607316e-57
VIT_00s0270g00010 6.11345115976075 -0.660016134342866 7.31205451764325e-55 2.89898588109496e-51
VIT_18s0072g00450 9.53533063959055 0.923399253708498 1.50863008135799e-52 5.12675605362057e-49
VIT_07s0005g05780 3.47962658737095 2.67297564782268 3.26816399678614e-49 9.71788564444359e-46
VIT_13s0106g00720 7.11910025162633 3.85796289632079 7.54114622327437e-46 1.99320873732501e-42
VIT_04s0043g00250 2.03625480205634 6.25538641835443 2.59549948745827e-44 5.14514515063812e-41
VIT_03s0063g00600 2.12542779332363 6.53985167531683 7.02934830838449e-44 1.28626259661423e-40
VIT_11s0016g00930 6.53865653484864 3.16739767624606 2.46372641734818e-41 4.18622314399133e-38
VIT_19s0090g01700 1.8980120507671 3.27632645144019 3.56431319497351e-41 5.65252548546865e-38
VIT_18s0001g13550 1.86168801678512 5.61161620205556 4.00718137320312e-41 5.95767690660974e-38
VIT_06s0004g05790 5.08810839763827 5.19814194394384 9.88574003817739e-41 1.38330578840096e-37
VIT_18s0001g11820 1.88071634935966 5.1919220170303 2.96077815521942e-40 3.91283281979776e-37
VIT_07s0005g05640 2.11602657670193 5.46166035539683 2.67506488932858e-39 3.18172217936741e-36
VIT_18s0041g00710 3.67499179505835 4.06924104007074 3.81501866422857e-39 4.32150780879377e-36
VIT_13s0067g03630 4.66973754868439 0.228969289157459 8.32300176269209e-38 8.60815504047476e-35
VIT_00s2395g00010 2.83392304384204 2.62986413945752 9.16344298982541e-38 9.08249924341528e-35
VIT_16s0022g01690 2.72906716286923 5.8324127644582 2.61985382804412e-37 2.39696472544283e-34
VIT_09s0096g00520 9.14242864732801 0.164507130818907 5.16553456762358e-36 4.38849058195106e-33
VIT_16s0098g01570 1.69833587631422 5.87696386009641 5.01716526854858e-34 3.97827758027446e-31
VIT_02s0025g00220 2.85326747943423 3.25711713722535 1.35865854978439e-33 1.00999279944597e-30
VIT_16s0022g00700 9.06067780637761 1.15578700663876 2.54355597816678e-33 1.83351847298883e-30
VIT_15s0046g00760 1.67265051703296 5.61599565336381 1.11008773988508e-32 7.33521309899617e-30
VIT_06s0004g03860 4.67312446974086 -0.0855319408322948 1.50987547806843e-32 9.7072751006194e-30
VIT_13s0067g03590 6.53988916117133 0.933477012535881 1.68260737701925e-32 1.05331221801405e-29
VIT_19s0015g01810 2.02442526991895 7.15483202570354 3.83014872693359e-32 2.33619430554606e-29
VIT_07s0005g03100 1.51456102770598 4.97819850430762 9.07031263836786e-32 5.13725231051178e-29
VIT_11s0052g00900 5.26258057649084 0.145577736242935 1.36981413751678e-31 7.40571334164756e-29
VIT_07s0005g00780 4.94475364037893 1.00524681028553 1.82529353312167e-31 9.6489072368663e-29
VIT_18s0075g00580 7.10076076053879 1.76580443095967 2.13507547788415e-31 1.10411251017191e-28
VIT_08s0040g01590 1.79951692589132 4.92237055583378 4.63732337524422e-31 2.29818017604812e-28
VIT_14s0066g01390 2.38286169791835 4.43821819661612 4.97915469579741e-31 2.41722718170671e-28
VIT_13s0067g03660 2.33096959075044 7.09143646335057 4.11275471530218e-30 1.84592847486053e-27
VIT_11s0149g00400 2.55814975247692 3.52072350314669 5.16906266299586e-30 2.27706782643232e-27
VIT_14s0060g00040 4.50519005072554 1.88049509150649 7.74446738218077e-30 3.23202438749678e-27
VIT_13s0084g00650 1.8687068527411 5.00862759309153 1.50526158816352e-29 6.17364873435064e-27
VIT_04s0044g01970 3.91332860825477 3.629533964705 1.83702441375859e-29 7.40663334821853e-27
VIT_06s0080g01200 6.52842383780581 1.98656857194419 2.21931173081951e-29 8.79883124212244e-27
VIT_06s0004g01650 2.61113134168136 5.43336908534276 5.05142372034779e-29 1.90735345174021e-26
VIT_16s0039g01070 4.71701588053477 3.61961379472809 7.26959830958062e-29 2.66044930135852e-26
VIT_18s0001g15400 1.5402347405284 7.00228313558312 8.44462639486743e-29 2.99822048777771e-26
VIT_08s0040g00320 2.02456105859899 6.98510330314255 8.67331367807666e-29 3.03412920256011e-26
VIT_17s0000g05680 1.92657845584671 6.8856491374087 3.11248961931037e-28 1.0577129009165e-25
VIT_13s0067g00530 9.67296173168481 -0.0648214185392616 3.18905443490713e-28 1.06846798447283e-25
VIT_16s0050g00840 4.75528380913155 -0.365313577001696 6.73479165821213e-28 2.1946195063774e-25
VIT_06s0009g02560 12.6515342004661 3.3056333544591 7.06254777004293e-28 2.27032278856461e-25
VIT_08s0007g04480 5.51526774326885 2.76260288061752 3.2028468955024e-27 9.64421796838116e-25
VIT_12s0035g00920 4.16467902134079 1.18992228956989 3.64802389753305e-27 1.07134805524094e-24
VIT_09s0054g01610 2.17218115433238 4.53110697874376 6.20564205439475e-27 1.73289568275694e-24
VIT_07s0129g00820 7.52150163887281 -0.277280614885604 6.26488266004274e-27 1.73289568275694e-24
VIT_00s0194g00260 3.33125374036087 3.10481655937863 1.59073957002684e-26 4.11309922736939e-24
VIT_17s0000g06960 2.61607160722329 5.49666112344067 1.64489603241596e-26 4.20739643216245e-24
VIT_00s0301g00020 1.78633951706958 3.96607967074723 1.71072683420903e-26 4.28365999285941e-24
