logFC logCPM PValue FDR
VIT_16s0050g02410 1.58061315157186 8.1866308469468 9.53194393830713e-15 9.069835296178e-12
VIT_15s0046g02230 3.14787022995465 8.04123990609859 2.44865428273925e-14 2.15735511399264e-11
VIT_05s0094g01400 1.91483243151709 8.30828364710058 4.86253286603484e-14 4.13106899347274e-11
VIT_01s0011g04140 2.83855612320884 10.1285854230162 5.57028600026681e-14 4.41686544581156e-11
VIT_01s0011g04830 3.65880768658621 6.85369540871847 1.22182258604391e-13 8.54844578729781e-11
VIT_14s0108g00760 4.17703770645572 3.47191764162774 1.26107278540132e-13 8.5709712626076e-11
VIT_04s0008g06050 2.78118291098033 6.94729673739266 1.83155991854124e-13 1.14655650900682e-10
VIT_18s0001g05800 2.57810895129519 8.07487881454972 2.23280246831442e-12 1.10653968992215e-09
VIT_14s0171g00120 1.68334979476994 6.77633734891571 2.80200591829259e-12 1.25762484498762e-09
VIT_04s0008g00490 2.06009511153194 8.71560947146014 7.89420794299758e-12 3.07848227127912e-09
VIT_18s0001g00360 4.83645021126693 11.9866618773036 8.6750228819136e-12 3.32841039217679e-09
VIT_19s0015g00320 3.76963879725149 4.54387023907053 2.59673017378212e-11 8.34743478026069e-09
VIT_18s0001g14260 9.19499308041236 6.42786041605437 4.67834061039713e-11 1.37393044987811e-08
VIT_04s0008g02750 1.90505010581861 5.64367846488627 7.23018531908262e-11 2.0475196234564e-08
VIT_07s0031g02050 5.51532907147643 2.24666317938878 8.6599305855543e-11 2.36784400884099e-08
VIT_13s0084g00310 3.75295599222201 7.30568479778688 1.17683615807846e-10 3.04288897047505e-08
VIT_18s0001g01130 6.21775180704583 10.2328929967311 1.19790910718702e-10 3.06407116578116e-08
VIT_14s0060g00480 2.20049209661832 9.81460772938815 1.51839260258252e-10 3.72366218868382e-08
VIT_04s0008g05010 4.58434232519914 11.2548095059804 1.6203188251542e-10 3.86239903145113e-08
VIT_19s0015g00690 2.87946224774598 7.59109649681746 1.78557002920774e-10 4.07723180818076e-08
VIT_09s0002g05160 3.16611346321504 6.54151944781771 1.7996861436816e-10 4.07723180818076e-08
VIT_05s0124g00030 1.52028212293679 7.56954999808245 2.33398436845437e-10 5.1888616968965e-08
VIT_16s0050g00140 3.65131745229028 6.88969929848078 2.83601988569748e-10 6.18819790245106e-08
VIT_04s0023g00770 2.19590493656159 5.9812654798295 2.86357668364094e-10 6.18819790245106e-08
VIT_08s0040g02710 1.58485930238025 7.1272141750924 2.88754820570064e-10 6.18819790245106e-08
VIT_01s0244g00010 5.2485092147578 8.51417344827833 3.33013062264569e-10 6.94887256592067e-08
VIT_06s0009g01610 1.74970140888731 5.38044882381622 3.45314270298387e-10 7.04368311643917e-08
VIT_00s0187g00320 1.91376634729761 4.70100832629522 3.46439769893805e-10 7.04368311643917e-08
VIT_00s0533g00010 2.27426833813045 4.82684947215786 3.95203796255432e-10 7.90009067674304e-08
VIT_08s0007g01720 2.21847887692673 3.63144423500097 5.78725613332584e-10 1.09259721348853e-07
VIT_14s0083g01000 1.72869325346254 4.52693055261604 5.96427796587561e-10 1.11715152954527e-07
VIT_08s0040g00040 2.05866287829195 8.23294627433902 6.03592902146841e-10 1.12173968408352e-07
VIT_19s0014g04130 5.73842689899057 3.51922021297452 7.82199654916498e-10 1.38857950680251e-07
VIT_11s0037g00150 1.65532167400739 5.966871919356 8.01285738232835e-10 1.41192482526538e-07
VIT_15s0024g01540 5.78211239665384 2.73545764826179 8.42468986469216e-10 1.47008171413243e-07
VIT_14s0128g00120 2.53114639084658 7.49041495190281 8.73045216366233e-10 1.50492750774782e-07
VIT_00s0878g00030 2.00470668024152 4.5297434714643 1.09281624861387e-09 1.80197640191338e-07
VIT_04s0044g01620 1.59765397457519 6.37426049009589 1.11701676003341e-09 1.81997223888183e-07
VIT_11s0016g01440 1.89230526267247 7.26825954055408 1.9262006638419e-09 2.86377883696694e-07
VIT_04s0008g03210 2.19594068445889 3.20624159139622 1.98003086864622e-09 2.92552635424574e-07
VIT_00s0291g00050 4.34359318326418 7.51437694940515 2.30887555282527e-09 3.32869888791561e-07
VIT_00s1522g00010 2.22334783858036 2.72266554580384 2.76676813538831e-09 3.7609074516924e-07
VIT_03s0038g04110 7.73411352265934 4.42277317953586 3.43033168568842e-09 4.50832763199758e-07
VIT_00s0404g00070 2.85059582844326 4.10603756903764 3.51483610081501e-09 4.57782414146068e-07
VIT_00s0704g00010 1.89509717002954 4.48558851376477 3.52169925124981e-09 4.57782414146068e-07
VIT_04s0023g01030 1.66346024683454 6.39733783212332 3.68553309700231e-09 4.76475333214624e-07
VIT_01s0150g00050 2.63036251191794 5.81188843143372 3.74658796567665e-09 4.81750456905493e-07
VIT_02s0012g00280 3.80168610729646 7.37368043007123 4.68852597923702e-09 5.80888833302553e-07
