logFC logCPM PValue FDR
VIT_01s0011g00140 6.33581854946148 1.74246233540549 1.28859520056601e-40 3.06531026310642e-36
VIT_10s0003g02070 4.33322556701424 7.13572227839917 7.39365809357515e-36 8.79401693649829e-32
VIT_03s0063g01440 5.45621047786972 1.74167975552642 1.80171472345616e-35 1.42863966138584e-31
VIT_12s0142g00360 3.58011520478613 7.93602484411796 1.52397701286445e-30 9.0630912955049e-27
VIT_19s0014g03940 4.83274196003457 1.09025433687354 5.8085497824462e-24 2.30289637041384e-20
VIT_00s0199g00200 6.08559279046414 -0.878882278746872 2.20554318719573e-21 5.82949570411244e-18
VIT_06s0080g00360 3.17240823080479 3.68839747348562 3.05777951911794e-18 6.61258720007069e-15
VIT_15s0021g01060 2.57424658224484 4.78988588479171 7.8717113224219e-16 1.56043557448143e-12
VIT_01s0010g03900 2.85513680694687 9.25244441752111 6.66661754716648e-15 1.21988844778459e-11
VIT_02s0025g00200 3.01943245095397 4.27195706020233 7.09356167949397e-14 1.10977587734558e-10
VIT_04s0023g03310 4.57239411119822 0.754798034527923 1.2853573497e-13 1.79859297850962e-10
VIT_13s0158g00100 2.35060048238232 4.86538095415975 1.18452654430683e-12 1.41608683169139e-09
VIT_08s0007g06470 5.10786457831183 1.59708466923744 1.19058923128585e-12 1.41608683169139e-09
VIT_14s0083g01050 2.12737108164287 6.22478595956535 3.48047905635586e-12 3.59972329533014e-09
VIT_18s0001g09480 2.4037527036185 2.80160210832606 6.10299722142651e-12 5.80712391613175e-09
VIT_19s0014g03300 4.65718961312678 8.37499471037199 7.14707604283265e-11 6.53902480411166e-08
VIT_08s0040g02180 2.6591163412046 3.66639662618344 7.73947135765252e-11 6.5752337377085e-08
VIT_07s0005g02490 2.66808146581328 0.78489536478646 9.08780645213172e-11 7.45450827183826e-08
VIT_02s0025g00560 2.13840974854103 1.09963271967453 3.9916319697453e-10 2.87736185746367e-07
VIT_07s0005g03750 2.17853990980274 2.2826225054452 4.60493716515128e-10 3.12977843670339e-07
VIT_15s0046g02170 4.66653155484452 5.23182997327468 5.3657326165349e-10 3.54555687450367e-07
VIT_02s0012g00110 2.13670896123415 1.18881743909822 8.86515553782703e-10 5.69957621442782e-07
