logFC logCPM PValue FDR
VIT_14s0108g00810 14.39122296806 8.58734052231734 2.53784312430459e-72 6.03702122409575e-68
VIT_19s0014g01350 6.80708394365268 7.58801927230502 2.01440648210028e-44 2.39593506981007e-40
VIT_04s0044g01740 5.54947887421411 4.66797294056493 1.76127491107711e-23 5.98531536924318e-20
VIT_18s0164g00100 6.32660720065824 5.6539385679855 2.25902247180924e-18 4.13366358149216e-15
VIT_04s0008g01220 4.46967542440265 4.38275267631687 3.51803478252376e-17 4.92276537686325e-14
VIT_14s0128g00020 1.6623951132345 5.63570281516586 8.91823219979745e-17 1.17859393093768e-13
VIT_13s0067g03200 4.19761371980858 5.37365302194502 1.16792082720071e-16 1.38912503187253e-13
VIT_00s0480g00060 6.1923600036499 3.6222371025301 1.39722909646355e-15 1.5827278926988e-12
VIT_07s0031g02140 2.18597631683065 5.54792853811683 1.78744474673606e-15 1.84868415805902e-12
VIT_08s0105g00400 3.25987370164586 3.82143323874018 7.18195189446675e-15 6.69208427671701e-12
VIT_13s0158g00380 1.98090744260273 3.9411450008812 7.47989843472681e-15 6.69208427671701e-12
VIT_06s0004g02580 2.26999296476098 5.03484098457171 7.59569007362365e-15 6.69208427671701e-12
VIT_11s0052g01120 4.65685625266618 3.64373488337023 8.24048341592611e-15 7.00087926778751e-12
VIT_14s0066g01950 13.8836584270152 2.50027569583076 2.27570762761261e-14 1.86670803605685e-11
VIT_03s0038g00450 1.83335842474501 7.534688096394 2.80642869548614e-14 2.15352663897498e-11
VIT_06s0004g02680 3.64229530688637 5.52728449024576 7.50932949095112e-14 5.35724973394192e-11
VIT_10s0116g00560 5.69634601187931 6.93294314772864 7.6570746155215e-14 5.35724973394192e-11
VIT_13s0074g00690 3.43310458318564 4.83728587188783 8.72657106086869e-14 5.76632423322068e-11
VIT_14s0108g00760 4.24900810751198 3.47191764162774 1.79243504813772e-13 1.09329345961795e-10
VIT_08s0040g01510 4.84138325650364 1.0088599357881 4.809250590546e-13 2.54227673439796e-10
VIT_03s0038g03180 3.67003905219841 2.29830377108964 9.03535907345315e-13 4.57304514126178e-10
VIT_11s0065g00130 4.39094328670181 5.73199023771798 9.81610152308012e-13 4.86469631314646e-10
VIT_19s0014g01940 2.61465183413824 5.85396211414426 2.14990711424061e-12 9.64943215727466e-10
VIT_11s0016g03500 4.77548815074391 2.73033784418156 2.49383810355093e-12 1.09858186680129e-09
VIT_07s0005g01130 8.63788584025642 1.20666642957303 2.69927845232804e-12 1.1674624695269e-09
VIT_08s0007g05550 2.34763477232478 6.11211811893443 6.64395673796271e-12 2.72493867039064e-09
VIT_09s0002g05180 2.67294898777957 6.87589720092709 6.87787074761568e-12 2.77306422617427e-09
VIT_01s0011g00560 3.86058165173217 8.14223148125952 1.16981161474215e-11 4.63791311524769e-09
VIT_01s0011g01740 4.27024309668132 3.06898456917335 1.45913261026805e-11 5.59836234404137e-09
VIT_13s0158g00080 5.92289053064077 3.54584842931244 1.52414310292437e-11 5.7549708146611e-09
VIT_06s0004g00890 1.6465579262857 5.3019922286404 2.74352043088197e-11 1.00404406168954e-08
VIT_10s0003g04540 3.28984628512701 5.7821522820191 3.68078985011929e-11 1.32664589325209e-08
VIT_10s0003g01280 3.05215037065363 3.62825514372304 4.07467305779692e-11 1.44669138356527e-08
VIT_10s0116g00430 2.10446208856422 2.90546381301043 4.53683277503147e-11 1.56408953699201e-08
VIT_12s0028g00270 3.70964783974473 2.58374495984987 6.11020128600079e-11 2.04717560832939e-08
VIT_18s0001g08060 6.96421840735838 6.64980698552828 7.0170123510637e-11 2.31834291398755e-08
