logFC logCPM PValue FDR
VIT_08s0007g06460 -5.88693200264456 1.43788934432764 7.27233141827551e-38 1.72994219777938e-33
VIT_01s0010g03550 -4.37551451565619 1.85640887046494 6.73752030759476e-36 8.0136066538532e-32
VIT_10s0003g02160 -3.84337946337681 1.75054568530281 2.5457189526022e-26 2.01858541481671e-22
VIT_17s0000g07770 -5.15496292752163 4.10810480037541 4.16812189468241e-24 2.24899636817876e-20
VIT_19s0014g02070 -6.74271583586697 3.97984373881875 4.72716573099622e-24 2.24899636817876e-20
VIT_01s0011g06430 -6.10167150814856 4.99195357700704 1.37180834755205e-23 5.4387628285947e-20
VIT_13s0019g01210 -4.23053641469166 2.87778077625494 3.36496565229814e-22 1.14351147052669e-18
VIT_04s0008g02690 -3.69170612808202 -0.319277789002062 1.24902001978225e-21 3.71396102882252e-18
VIT_04s0023g02170 -4.95468133317732 2.24034673803474 2.0390208862506e-20 5.3893587602366e-17
VIT_01s0182g00140 -5.40417768436047 4.30358868892402 9.34730650092164e-20 2.22353727043924e-16
VIT_14s0068g00190 -4.46094308501577 1.76968429424293 1.62232798772026e-18 3.50835801562632e-15
VIT_10s0003g02150 -5.57309551972652 0.796111853058322 1.93079229933127e-18 3.82747393470769e-15
VIT_14s0083g00060 -3.94233281383435 1.28279479742076 3.19887819599213e-17 5.44353900106951e-14
VIT_01s0011g03230 -3.91341831865259 2.64243559956971 3.38675458831325e-17 5.44353900106951e-14
VIT_08s0058g01250 -2.83981212323018 1.82183050797745 3.43253258012623e-17 5.44353900106951e-14
VIT_07s0005g01280 -3.53977542729073 1.56871165952171 2.00397214586349e-16 2.97940558786254e-13
VIT_02s0025g00560 -5.51477572657659 1.09963271967453 2.20123696579705e-16 3.0629603407987e-13
VIT_00s0225g00170 -4.10497120586437 -0.45037730396335 2.31769321230774e-16 3.0629603407987e-13
VIT_09s0018g01800 -8.22119628914011 4.08697302439325 7.85395157565236e-16 9.60753994929847e-13
VIT_10s0003g04340 -3.67441376282971 3.48754408021003 8.07763574011979e-16 9.60753994929847e-13
VIT_10s0003g00870 -3.42336782201504 0.499846819812083 8.77253639112007e-16 9.9371950319983e-13
VIT_14s0108g00660 -6.34045838539169 1.01612933246764 2.7734841652899e-15 2.99889278745073e-12
VIT_07s0031g00320 -2.95870662771903 5.52176106900525 4.91607755153799e-15 5.08450664330372e-12
VIT_04s0069g00610 -6.60743239113136 -0.163073945227469 6.28484331668593e-15 6.22932720072187e-12
VIT_07s0005g01370 -1.62102203728569 5.09463640790729 1.55605246113153e-14 1.42366830559219e-11
VIT_18s0001g09160 -3.60800794626724 1.77979730624263 5.03838697634865e-14 4.13286722046143e-11
VIT_17s0000g06900 -2.61274328917059 1.73262078962685 7.39989690457988e-14 5.67834669568214e-11
VIT_04s0043g00700 -2.00989851925952 4.50469455681102 1.13287172471847e-13 8.17748196250221e-11
VIT_04s0008g00880 -2.89474950959772 3.89331378824228 1.13442451976868e-13 8.17748196250221e-11
VIT_06s0004g01320 -2.90284825881605 2.13062276974864 1.34646436747365e-13 8.89713732596199e-11
VIT_05s0020g02070 -1.9067177006087 4.20273224322783 1.3876127456874e-13 8.92122486335457e-11
VIT_11s0052g01060 -5.48443055313218 -1.68256627609106 2.31860122646035e-13 1.41422784551382e-10
VIT_05s0062g01050 -2.19106510086422 3.41749536042137 2.63621613750826e-13 1.56775773697616e-10
VIT_07s0005g06150 -1.675708860947 3.19954933440759 3.19906250744264e-13 1.85608046163526e-10
VIT_16s0039g01450 -2.90275786890524 4.68042551196865 4.48965756760636e-13 2.48372033065628e-10
VIT_12s0059g01220 -3.94552962396171 1.58130755875657 5.1687283149552e-13 2.79440248082169e-10
VIT_03s0063g01120 -2.7033251730595 5.69167304427259 5.63041088028442e-13 2.97636031156013e-10
VIT_18s0001g03020 -1.76396693804869 3.52104854973427 6.51870504750981e-13 3.37102077543833e-10
VIT_04s0044g00860 -2.42021404591413 3.66681099785065 8.36748496047943e-13 4.23501557957201e-10
VIT_09s0002g01350 -2.67276540781657 4.58088546677953 2.61769587280479e-12 1.25762484498762e-09
VIT_00s0245g00040 -3.69119551429858 -0.128562058389935 2.69566270977826e-12 1.25762484498762e-09
VIT_07s0005g01640 -3.66493948208233 -0.470918996216049 2.69888216125261e-12 1.25762484498762e-09
VIT_06s0004g07040 -2.61837201117802 1.15182546941159 2.79143254518015e-12 1.25762484498762e-09
VIT_09s0002g03220 -7.28814572464537 0.334264845392564 3.75954516683203e-12 1.6561492671963e-09
VIT_08s0040g01790 -3.47098180900341 0.9164435774765 3.90097638733897e-12 1.68720775094581e-09
VIT_15s0046g02930 -1.50007084368923 6.78212071658761 3.97603771822354e-12 1.68896402216253e-09
VIT_18s0086g00220 -6.39174874984752 5.77310598499939 4.08449283040548e-12 1.69549028087032e-09
VIT_09s0002g06330 -3.02482843259505 0.672743865861754 4.13395141628042e-12 1.69549028087032e-09
VIT_02s0087g00810 -2.28154128578719 1.77861188810272 4.91560253843083e-12 1.9819042912575e-09
VIT_10s0003g05190 -4.47014291622923 0.197766496723655 7.15411001925317e-12 2.83636615229991e-09
VIT_00s0228g00060 -8.91166349400967 1.95503000863353 9.38547479115741e-12 3.54383610050877e-09
VIT_03s0063g01370 -7.09023963307256 -0.546071179424294 9.60183262767375e-12 3.56888116479849e-09
VIT_08s0058g01240 -3.8350116258571 -0.56278990638314 1.02416089489758e-11 3.74811374889593e-09
VIT_15s0048g02060 -5.9259018552573 1.34624936433892 1.13445149105858e-11 4.02781075661217e-09
VIT_10s0116g01500 -2.42180068725 1.28751947052428 1.21793915032122e-11 4.26063772174136e-09
VIT_11s0016g05790 -3.02145965852707 1.95760833931152 1.55976249303934e-11 5.30051859777426e-09
VIT_06s0004g01700 -2.90424688941435 0.91194456269236 1.58615654324796e-11 5.31429462687077e-09
VIT_00s0228g00070 -4.98782504181311 2.91820052369566 2.05436378924212e-11 6.78738969701271e-09
