logFC logCPM PValue FDR
VIT_06s0061g00070 -5.72048560977766 4.69011515890858 1.36755363697241e-21 3.25313659162997e-17
VIT_03s0110g00360 -6.33418188239882 3.37239713436599 9.87220094908305e-20 1.17419958088394e-15
VIT_02s0154g00600 -4.600506931881 3.60273915368894 5.23723550038691e-19 4.15277860277346e-15
VIT_05s0020g01270 -5.99519157428252 4.34928596315708 9.91750291217695e-19 5.89793898187163e-15
VIT_13s0073g00520 -3.33021707712364 2.10472998935899 2.07578545285801e-18 9.87575687051729e-15
VIT_16s0100g00620 -3.81182116346092 1.82396559293856 3.39736423014097e-18 1.34694167177656e-14
VIT_14s0219g00280 -3.21725768478882 2.19222453292939 5.58279381468971e-18 1.89698578801301e-14
VIT_06s0080g00760 -7.85893288860432 6.82893471529911 6.37963944177909e-18 1.89698578801301e-14
VIT_11s0016g00590 -1.91073240016151 7.10583151152154 1.122841202432e-17 2.96779405816138e-14
VIT_14s0081g00520 -4.2148255558596 1.45137848875208 1.3740596219053e-17 3.26861302858832e-14
VIT_04s0023g02230 -5.07524767981031 4.5934706016484 1.9991480783467e-17 4.32324858979194e-14
VIT_14s0068g02010 -4.46087062240117 4.78764661215347 2.56853136370541e-17 5.09168533998535e-14
VIT_06s0004g07880 -2.8459583867579 3.08527963054322 4.23297616105839e-17 7.27726314977985e-14
VIT_18s0001g12580 -5.4187062853496 3.23744848286626 4.33164522106038e-17 7.27726314977985e-14
VIT_02s0025g01220 -5.64677868035502 5.70814828665648 4.65659358458096e-17 7.27726314977985e-14
VIT_07s0129g00300 -2.23805043962906 1.60988841992357 5.46240464828583e-17 7.27726314977985e-14
VIT_02s0025g04910 -4.2988865389809 3.84527697092758 5.64541202235496e-17 7.27726314977985e-14
VIT_12s0059g00190 -5.17755659963372 5.48335081061404 5.75736038084291e-17 7.27726314977985e-14
VIT_14s0068g01520 -6.1749228025124 4.59093329475147 5.81251050301905e-17 7.27726314977985e-14
VIT_00s0125g00200 -4.78907268130118 3.08206305921439 6.21539389452924e-17 7.39258949815308e-14
VIT_14s0068g00270 -5.39239005732506 4.16377094367896 7.65889186928376e-17 8.39863732347512e-14
VIT_08s0007g07820 -5.26831966840413 4.52712840311628 7.76736258266574e-17 8.39863732347512e-14
VIT_12s0028g03330 -4.02111679298055 4.95066947264168 9.74701151498252e-17 9.69727641379121e-14
VIT_05s0077g00870 -4.27473342658969 3.11341107721307 9.78369908907807e-17 9.69727641379121e-14
VIT_04s0008g07040 -6.29074338694405 4.06190468686739 1.18519161194214e-16 1.12773352259519e-13
VIT_18s0001g10040 -3.66834754015048 6.32352496510548 1.55623856927768e-16 1.4238385802299e-13
VIT_14s0128g00210 -4.14933895431163 2.27910860367502 1.92913572673758e-16 1.63909160154169e-13
VIT_00s0499g00020 -5.28990915052347 6.26532915469604 1.92931582491875e-16 1.63909160154169e-13
VIT_07s0104g00500 -5.3258313129218 3.62375810039063 2.22419140859203e-16 1.7975786407172e-13
VIT_03s0088g01160 -5.40315332048085 3.84989545047109 2.266998453906e-16 1.7975786407172e-13
VIT_03s0038g03550 -3.44166374354725 3.27342410878807 3.03319813434278e-16 2.3275392651531e-13
VIT_08s0058g00540 -5.53767905783422 4.9658908249755 3.64369154636982e-16 2.70862920328267e-13
VIT_01s0026g00550 -2.62926240181271 0.384395643351534 4.15883693467717e-16 2.9236991250574e-13
VIT_01s0010g03530 -1.87882688536105 2.79181033816059 4.17882000386546e-16 2.9236991250574e-13
VIT_17s0000g00330 -3.8680915106125 3.2271165958633 4.30431449134166e-16 2.92545808914387e-13
VIT_03s0110g00370 -6.26052200089126 2.53777378375989 5.21017455224039e-16 3.44276756246373e-13
VIT_02s0025g02690 -6.77609570014004 4.76920343516835 8.27587474146777e-16 5.32071644189285e-13
VIT_16s0098g01510 -6.18757148051006 2.74334393883394 9.69262973375292e-16 6.06758621332933e-13
VIT_08s0007g06500 -4.74850718586761 2.65171880749054 1.1661097638096e-15 6.9619525103926e-13
VIT_18s0001g01200 -5.58201370051212 0.805094504550139 1.17066630408485e-15 6.9619525103926e-13
VIT_15s0107g00320 -5.0878330694739 4.04657709310487 1.27839484660989e-15 7.41718453930638e-13
VIT_13s0064g01030 -2.36747267613153 2.88943027022911 1.3438371573087e-15 7.61123769001415e-13
VIT_04s0008g03550 -5.0281893695704 3.69103758815251 1.39478536288308e-15 7.71608237494481e-13
VIT_04s0008g04200 -4.89440793295713 4.34015187372931 1.49986197307907e-15 7.93097826841311e-13
VIT_10s0003g04320 -5.25866922658085 4.06229348859872 1.5003111740314e-15 7.93097826841311e-13
VIT_11s0103g00050 -6.10301813312415 2.641337808566 1.84497899262731e-15 9.54094788622139e-13
VIT_01s0026g00030 -3.20926073530928 4.14484881647261 1.93022226672754e-15 9.76938878317337e-13
VIT_10s0092g00360 -3.23946560965953 4.4701412086344 2.1198445987157e-15 1.05055965238019e-12
VIT_19s0015g01230 -4.2318970017225 5.24997874652333 2.33677941398782e-15 1.13443487142739e-12
VIT_14s0060g01780 -5.53663169784249 3.63161500155927 2.45013192036782e-15 1.16567476243419e-12
VIT_18s0001g02060 -4.94530446342556 4.69962694716081 2.96108119678129e-15 1.38114116684379e-12
VIT_14s0066g01000 -3.10098312788632 2.97588019379355 3.09682742890768e-15 1.416679439978e-12
VIT_06s0004g06730 -5.91894295201527 4.32699551497439 3.98699911604895e-15 1.77236157564515e-12
VIT_06s0004g05870 -5.14135342219871 7.28722226111536 4.0233531648242e-15 1.77236157564515e-12
VIT_18s0001g14170 -4.20074209618927 5.14824832402389 4.15385749679167e-15 1.79631866729957e-12
VIT_14s0108g00440 -4.94774123850802 8.36466340597753 4.22876430842341e-15 1.79631866729957e-12
VIT_14s0060g01040 -6.62612845663627 0.0525609249708533 5.14070526298652e-15 2.14538766308637e-12
VIT_15s0048g02510 -5.66325172432235 2.57434135323438 5.50672970826236e-15 2.25851872931284e-12
VIT_14s0066g01790 -3.7225987832269 5.36785244062945 6.01308313426078e-15 2.42439358640331e-12
VIT_08s0040g00930 -4.8323965745007 5.60167529132694 6.83174079429483e-15 2.70855750024476e-12
VIT_03s0038g02370 -6.16764960637284 2.26319166961757 7.25657753194253e-15 2.82982731688277e-12
VIT_14s0108g00710 -3.51392174456057 5.59675890964592 7.7485841036852e-15 2.97295675255586e-12
VIT_04s0069g00990 -6.09605959113753 4.95183990047156 8.27378535536877e-15 3.12407628624623e-12
VIT_04s0023g03740 -5.45591789381207 3.31519993818636 8.40771629864288e-15 3.12504305175183e-12
VIT_04s0008g06670 -4.69066663206626 5.79411123072603 8.64616591294041e-15 3.16423068826195e-12
VIT_12s0059g01750 -2.26184725598461 2.02755722279057 9.08019119551817e-15 3.27272103271191e-12
VIT_11s0065g00460 -4.58983315024314 4.73786065613856 1.00433075753935e-14 3.5224847494615e-12
VIT_03s0038g01960 -3.81389561423073 4.67425683757322 1.00693191089365e-14 3.5224847494615e-12
VIT_05s0077g01860 -3.03568659633512 4.768625751999 1.13048802627235e-14 3.89739843028502e-12
