logFC logCPM PValue FDR
VIT_07s0151g00110 -7.67476513426421 -0.49399313043235 2.58852027263118e-24 1.23151440490701e-20
VIT_12s0059g00830 -5.78248910980047 -2.22260382014294 3.51157039579236e-22 1.15961301764882e-18
VIT_01s0011g02920 -2.76510797657787 -0.817595500429143 3.89982518126389e-22 1.15961301764882e-18
VIT_13s0067g03200 -3.27056480594811 5.37365302194502 3.70571192819823e-19 8.81514753479796e-16
VIT_10s0116g01900 -3.37436712032894 -0.801635308030809 4.72721861604491e-14 8.03221974560545e-11
VIT_11s0016g05590 -1.61444664378849 3.60099089922442 2.95518722465259e-13 3.90544409444643e-10
VIT_13s0019g00340 -1.62042310113894 6.62863090275471 1.95307423692243e-12 2.14867345954754e-09
VIT_18s0164g00100 -3.52262196907276 5.6539385679855 1.98717067891567e-12 2.14867345954754e-09
VIT_01s0011g02510 -1.67925306508055 2.86704614100142 5.76552400824592e-12 5.71459521283975e-09
VIT_03s0017g00390 -6.03272235304357 -1.96544059492105 7.7005196458207e-11 6.5752337377085e-08
VIT_14s0066g01280 -1.97673048563624 3.4990988407373 1.02331396133948e-10 8.11419750411448e-08
VIT_16s0098g00740 -2.78533727836588 -0.11976097972156 1.34784616808945e-10 1.03427627891974e-07
VIT_05s0077g02280 -2.48958440233306 3.67295294563088 4.52200752798775e-10 3.12977843670339e-07
VIT_19s0027g00790 -1.65076075585499 3.40017088650468 1.2695942298329e-09 7.94765987875393e-07
VIT_13s0067g01370 -1.99689596999359 2.28917839304719 2.05700477889869e-09 1.17212699638863e-06
VIT_05s0094g00630 -3.44082520926551 -0.0664148224184018 3.24577561867218e-09 1.7157891203772e-06
VIT_06s0061g00390 -5.49727265895531 -1.90864399667339 3.64623563769468e-09 1.80701361144752e-06
VIT_10s0003g00850 -4.18738520337098 -0.629829929532774 4.14413011301587e-09 2.0118483087433e-06
VIT_00s0179g00310 -4.91380556330105 -0.769544441256829 4.52273301513497e-09 2.10954456792217e-06
VIT_10s0003g01280 -1.98095788926136 3.62825514372304 5.88517949225712e-09 2.64144622192099e-06
VIT_01s0011g06200 -1.70721751386109 3.05975574976963 1.24563951059709e-08 4.93854544634728e-06
VIT_05s0077g01360 -3.14861238815385 0.200445720312992 2.14796633503238e-08 7.69951096093639e-06
VIT_18s0001g11800 -2.91280776328362 2.88275804644552 2.15227058728378e-08 7.69951096093639e-06
VIT_16s0022g02400 -2.25314688285682 1.87349794484231 2.96356788814972e-08 9.92920463708529e-06
VIT_15s0046g00480 -2.52822799551423 5.85678444355947 3.32789939141284e-08 1.0995009822629e-05
VIT_18s0001g07460 -3.31972883302228 2.05570738742371 5.69286378651451e-08 1.66756012215259e-05
VIT_17s0000g08460 -5.25781025945029 0.792352987886028 6.68276001746507e-08 1.87330770926603e-05
VIT_01s0137g00160 -2.60505576502597 -0.979846599857615 6.69375968083121e-08 1.87330770926603e-05
VIT_11s0016g04470 -3.14320540193739 -0.45093318736829 7.03939638393193e-08 1.9471297811741e-05
VIT_07s0031g00040 -2.75375853437984 2.03782927679241 7.47450466913218e-08 1.98531266606874e-05
VIT_18s0001g11810 -2.86313569491589 2.09797295239857 7.51127206768905e-08 1.98531266606874e-05
VIT_02s0025g00600 -4.2861207353315 1.8135736260527 7.63105565543791e-08 1.99480826298414e-05
VIT_18s0001g05840 -1.78104412746279 5.07602943851346 9.4444730445419e-08 2.40338059514811e-05
VIT_14s0083g00840 -4.60151085140741 0.341504410885247 9.49713199696999e-08 2.40338059514811e-05
VIT_06s0061g00290 -2.72878174385225 -1.14061395714842 1.10834105579134e-07 2.77528600370152e-05
VIT_09s0002g03150 -2.18444606127534 2.36236055928537 1.15183167022635e-07 2.835883293447e-05
VIT_18s0001g01390 -2.05811372747011 2.11508393587312 1.20114319734979e-07 2.88614084631887e-05
VIT_19s0027g01130 -2.79774173142209 -0.350445580520569 1.88153017435203e-07 4.22917958163855e-05
VIT_07s0104g01640 -3.40773721126518 -1.36624212329115 2.35148310750021e-07 5.17935927418658e-05
VIT_05s0077g01250 -2.3688391928507 5.40258497391273 4.66699455190762e-07 9.82464304431669e-05
VIT_02s0012g01190 -3.41966328856501 0.439919512638458 6.13857983729468e-07 0.000124807296726125
VIT_08s0007g03450 -4.3120173462383 -1.60966745472948 6.54107441775707e-07 0.000131863625635259
VIT_15s0046g00730 -3.1613965047176 1.45820873974446 8.43597032746502e-07 0.000159265763610903
VIT_07s0129g00340 -3.88636210862993 0.985797444005982 9.13538150197941e-07 0.000167163427053143
VIT_08s0040g02600 -2.50512650037245 2.78205485286823 9.23922664174742e-07 0.00016777307126251
VIT_07s0005g03530 -1.91527617706042 2.50649624602442 1.15097008566056e-06 0.000199848732829878
VIT_19s0014g02070 -1.71321718800992 3.97984373881875 1.17857830383265e-06 0.000200590389504815
VIT_13s0067g02630 -2.45459431894351 3.41586350491673 1.23235222396328e-06 0.000207219850255848
VIT_19s0093g00440 -4.80971690218464 2.5539722300448 1.23697741450859e-06 0.000207219850255848
VIT_00s0229g00150 -3.2728768845147 -1.4233535747805 1.38540993243637e-06 0.000227283665329631
VIT_08s0007g03100 -1.99836118847752 1.1799435503943 1.44371658240047e-06 0.000235226918233852
VIT_12s0055g00510 -2.03391452127601 1.03063246824301 1.49264999673282e-06 0.000238836482129159
VIT_02s0025g04650 -3.12143789293936 2.20288855108641 1.60601212428516e-06 0.000249788459245315
VIT_12s0028g02480 -3.33588708044844 0.51470925189168 1.60878317546141e-06 0.000249788459245315
VIT_05s0094g00740 -3.4471844849798 1.12233064740952 1.70212893500443e-06 0.000257899637617105
VIT_05s0062g00610 -3.05910549857774 3.71515866401305 2.04524905634175e-06 0.000298217179694816
VIT_13s0064g01700 -3.69448964856757 -1.12248326879494 2.24376449043294e-06 0.000321534154809752
VIT_01s0011g03490 -1.86341441275917 3.98315544741949 2.55046458849379e-06 0.000355852433714597
VIT_14s0083g00370 -2.53402003490885 3.5111560664219 2.66141801358578e-06 0.000361770352612449
VIT_03s0038g01860 -4.73882934407788 3.77508293164818 2.68985937981953e-06 0.000362318592833451
VIT_03s0063g01850 -3.60449745802971 2.4387126432806 2.75330458999226e-06 0.000367952862846831
VIT_01s0011g00970 -3.42456878927394 1.17337751117088 2.93161370152013e-06 0.000380755267161499
VIT_06s0004g00910 -1.72102483726059 5.02250504006247 2.95094414989302e-06 0.000380755267161499
VIT_07s0031g01670 -3.13168363334474 2.9548532281599 2.95777029605798e-06 0.000380755267161499
VIT_06s0004g07770 -1.58233461213269 5.29888315430003 3.4600257667318e-06 0.000428682775724043
VIT_12s0028g01370 -3.46680900832426 2.71965755874581 3.77220054911007e-06 0.000461672772668244
VIT_11s0016g04460 -3.15329894929376 -1.613691809346 3.97063284943067e-06 0.000477037445566953
VIT_16s0022g01190 -3.43365569088411 1.47701634281504 4.60361266008227e-06 0.000531605524068142
VIT_18s0001g14810 -3.62473071480129 0.703934030632702 4.73905161455682e-06 0.00054198346061095
VIT_11s0016g03500 -2.64566784749079 2.73033784418156 4.97744927021786e-06 0.000563826491618773
VIT_14s0083g00130 -1.76315630875503 -0.290284652148937 5.14565359504036e-06 0.000580117572127109
VIT_15s0046g00660 -3.00780567564241 2.21185417611375 5.60481655168195e-06 0.000620127330843768
VIT_08s0058g00660 -3.5296099808586 -0.325252738605575 6.33991745177649e-06 0.000685517983376633
VIT_00s0317g00110 -2.24305692718981 5.38356319138119 7.01387535214416e-06 0.000748188640703162
VIT_12s0034g01870 -2.97158105361807 6.07301149884528 7.87663248468062e-06 0.000811122656041483
VIT_11s0016g04260 -2.31131668446578 1.24189701149983 8.25584367065923e-06 0.000846508660507077
VIT_01s0011g02500 -3.2831781931772 4.61811375998284 9.448916238643e-06 0.000944415207919495
VIT_03s0017g01280 -2.2357117426536 4.05043611362111 1.00808966935413e-05 0.000999184877274834
VIT_11s0052g00770 -1.71775187694578 4.41565679018495 1.08015846922674e-05 0.00105991447153927
VIT_07s0005g05260 -5.08558960520336 4.84549322733476 1.08555965363076e-05 0.00105991447153927
VIT_11s0118g00550 -1.79989173855644 1.59420487385572 1.10857473126968e-05 0.00106764274119203
VIT_10s0003g02220 -1.87316482166235 -0.114313155964446 1.1166464900792e-05 0.00107108010911306
VIT_05s0062g00570 -3.37582590363897 1.8384303152832 1.14696460711833e-05 0.0010913418461603
VIT_02s0025g05030 -1.7212501784591 0.250857224097542 1.19122085636126e-05 0.00112003010794947
VIT_14s0036g00540 -1.8601729179962 2.86987423670483 1.42635343285053e-05 0.00128038096077919
VIT_05s0094g00540 -3.17890389847468 0.201662584276237 1.45960760673723e-05 0.00129540463814547
VIT_09s0018g01360 -5.33132246985114 0.173824061808465 1.46028472274391e-05 0.00129540463814547
VIT_18s0001g14790 -2.85970825905835 5.68816671103258 1.47918252782173e-05 0.00130321459154901
VIT_13s0074g00500 -2.47999325464687 4.65911123001406 1.50383154641843e-05 0.00131194692684452
VIT_02s0025g02730 -2.35821314348868 -1.89097209103496 1.60211308180148e-05 0.00137305461471165
VIT_05s0094g00650 -3.17055037414216 2.10467059438183 1.64833162918589e-05 0.00140539472383777
VIT_16s0100g00240 -4.13771227853925 2.53848345808458 1.67481661878747e-05 0.00142287634741844
VIT_03s0167g00070 -2.37707966601053 2.12747252144848 1.89284974564963e-05 0.00156888884144646
VIT_06s0004g05050 -2.24926512668575 -1.71894165203542 1.96435704773086e-05 0.00160280379117943
VIT_06s0009g03130 -8.01061444381464 0.954001105955222 2.06824922960753e-05 0.001650422136465
VIT_14s0083g01150 -2.3667074813159 3.92038577002103 2.07043959098335e-05 0.001650422136465
VIT_05s0020g01830 -2.02970057784451 6.37182601327821 2.14951271954446e-05 0.00168754483737702
VIT_13s0019g02580 -6.11266758536692 -1.9018752397969 2.25442714003543e-05 0.00175255924206414
VIT_18s0041g01590 -7.76502474482929 0.433864112743814 2.4559286767277e-05 0.00186813522178891
VIT_00s1216g00020 -2.49109642049024 -1.60717318693981 2.48116443045293e-05 0.00187371236417823
VIT_07s0005g01700 -6.07233978385961 2.53193477739011 2.49438187071154e-05 0.00187773278292678
VIT_16s0022g01580 -2.33497318549937 -0.342497205558646 2.53670281354784e-05 0.0018985696345367
VIT_00s0203g00130 -2.67870795507119 -0.198942103517925 2.53802397756294e-05 0.0018985696345367
VIT_17s0000g06620 -3.66505292427724 -1.12392149801387 2.93139953951194e-05 0.00210036542909368
VIT_13s0019g04040 -1.91509678595768 1.391117298902 2.97310923735364e-05 0.00211749468677151
VIT_03s0038g01840 -3.40726909151263 -1.93025510040624 3.13974426822884e-05 0.00221344409712781
VIT_11s0052g01140 -1.98471512925925 3.1953599416593 3.20449645113574e-05 0.00224201651704756
VIT_01s0011g03270 -2.50279070586018 -1.57522000704876 3.40474281911909e-05 0.00235441924945363
VIT_18s0001g14800 -4.1697043510467 4.83729129967734 3.53661626271055e-05 0.00243147478778493
VIT_04s0044g01740 -1.53776172118808 4.66797294056493 3.61087220739473e-05 0.00246097053841783
VIT_06s0004g01500 -2.72537382612745 1.89521415511557 3.6347796276261e-05 0.00246336574877406
VIT_03s0038g01850 -4.32160458725409 4.01593444581051 4.07215689264184e-05 0.00265890264605824
VIT_15s0046g01580 -2.75993103965753 1.61424844719206 4.11804209108431e-05 0.00266920940770337
VIT_03s0097g00700 -2.17904348114358 3.92508452446888 4.80159015113317e-05 0.0029799714488444
VIT_11s0065g00100 -5.62503913072826 -1.34969611263371 4.95092749789274e-05 0.0030441087032154
VIT_15s0048g01250 -2.23044428151294 3.3572034017907 5.07628654771526e-05 0.00309107340115179
VIT_10s0003g00830 -2.95305201840331 -0.95364204143745 5.08075374075311e-05 0.00309107340115179
VIT_14s0083g00820 -2.31532991490147 2.10037980742033 5.29278065812804e-05 0.00321185373202933
VIT_19s0085g00940 -2.86328922129754 1.31646748240734 5.79599824536693e-05 0.00342973149902459
VIT_05s0020g02920 -2.09986150041534 2.0529779094848 5.99521042643254e-05 0.00350616507176682
VIT_18s0001g11070 -5.036971989566 -0.21334364091472 6.27612941839173e-05 0.00363251986872755
VIT_01s0150g00460 -1.83298932892876 6.00942215378674 6.32727122294403e-05 0.00364438566226132
VIT_18s0041g00790 -2.50031875073612 2.69670345434249 6.50350160172564e-05 0.00371887731014061
VIT_14s0171g00040 -2.25254438905725 0.525819886508131 6.69083633226343e-05 0.00379860655541485
VIT_15s0048g01240 -2.38719555228774 2.54550066267952 7.32935880865593e-05 0.00406870267174082
VIT_11s0016g02200 -1.74116445902822 7.90071606766126 7.97885853696737e-05 0.00430387952102902
VIT_03s0038g00930 -2.59063773077893 1.90588810129364 8.82872617930012e-05 0.00466705479719832
VIT_08s0040g01970 -3.78973024775689 3.89477696087417 8.8483340908712e-05 0.00466705479719832
VIT_18s0075g00270 -2.86624646373446 1.50500041450293 9.30495795405675e-05 0.00484346476610726
VIT_15s0048g02690 -3.071317284742 0.335942279083327 9.33131245493445e-05 0.00484657774406072
VIT_13s0106g00280 -6.48740991449748 0.252893608346058 9.43820547721891e-05 0.00487019591956797
VIT_03s0063g02670 -2.61202107150325 -0.962411965697718 0.000103299193311583 0.00522825789467222
VIT_17s0000g02880 -1.64765500953012 3.03671741824086 0.000105612059654274 0.00528929089119308
VIT_10s0003g03650 -2.37450755439483 4.3446978398356 0.000106297148818975 0.00530104104005405
VIT_04s0008g05730 -1.84254387572256 1.57521455555491 0.000107669179558241 0.00534704476687147
VIT_08s0007g07330 -1.83790938392802 4.68558359819133 0.000108652655006456 0.00538464449436159
VIT_11s0052g01630 -1.96290125453444 4.09801301032993 0.000117396398414393 0.00571393873262968
VIT_06s0004g07030 -2.01372404283635 1.88805568330728 0.000128555906673963 0.00603173157388607
VIT_11s0016g04160 -2.80347058909254 7.67305316374647 0.000130393402601021 0.00607005530542678
VIT_02s0012g02220 -2.7621868735768 7.51126086080691 0.000134321752664918 0.00620303050181435
VIT_01s0026g01850 -6.04158652628699 -1.33015991742344 0.000136629858852116 0.0062744229389462
VIT_10s0003g00220 -2.32051872646315 6.29485213974498 0.000137463144094549 0.00628841013792526
VIT_18s0001g14770 -2.96823238169132 3.37023055207618 0.000140046501668133 0.00638204249364281
VIT_07s0151g00190 -3.9027404713267 -0.794969074583193 0.000147490551503209 0.00664489628628475
VIT_14s0066g01690 -3.99735010167362 -2.11771821991475 0.000152131958153682 0.00675975566034486
VIT_11s0037g00690 -2.49726847651877 0.773786430590009 0.000153200119191265 0.00678645146242422
VIT_13s0064g01580 -3.39392225861043 4.63341665690198 0.000160334745547271 0.00702402012353312
VIT_00s0729g00010 -3.11629517764508 -1.4920280313157 0.000177040290274803 0.00762941019032067
VIT_12s0028g02990 -3.66446422720235 6.24846577705802 0.000185756119651044 0.00787658925892875
VIT_18s0122g00450 -3.4223724264537 -0.634842768275997 0.00020570884299487 0.0085698808356602
VIT_08s0007g07990 -2.31279217263408 3.08544440745888 0.000214794982609849 0.00882477210073072
VIT_10s0003g01590 -1.55781809475705 0.976404300537817 0.000218532802708804 0.00891673809749063
VIT_02s0025g01940 -2.88066074186278 -1.04358370087045 0.000224580145844723 0.00903944587031179
VIT_18s0122g01460 -3.21522243432013 4.60744091803876 0.000238457340320167 0.00944023622570345
VIT_09s0054g01280 -1.97174643651103 0.310880095450936 0.000261988259203747 0.00999163972568769
VIT_06s0009g03120 -5.18399831490015 4.40722827754794 0.000262097830369477 0.00999163972568769
VIT_15s0046g03080 -1.79112578829018 1.54785684508577 0.000280082802316511 0.0104266192511818
VIT_12s0028g00270 -1.50546304379044 2.58374495984987 0.000288724116884422 0.0106648591497618
VIT_13s0019g01190 -3.80946245394446 -1.30103420374681 0.000292656190208314 0.010759977515727
VIT_03s0088g00900 -2.00230042338209 -0.499792550319719 0.000294151603839476 0.0107816307428867
VIT_09s0054g01700 -2.87679442931225 -0.719506557800481 0.000294781449124708 0.0107880940181209
VIT_09s0054g00880 -2.57862693404351 0.647217296116189 0.000297154420651891 0.0108415787706552
VIT_13s0084g00380 -1.54801570381854 1.68890888232419 0.00030126588564462 0.0109579707763215
VIT_17s0000g04600 -3.33693167030717 3.43051108390132 0.000306092234644445 0.0110490471589105
VIT_03s0091g00420 -1.66066823190919 7.99039686046192 0.000325512733934487 0.0115227632661214
VIT_18s0001g00210 -2.78481490447854 1.88088360493382 0.000355666225119486 0.0123332188967089
VIT_19s0014g01720 -2.2176744277991 0.0573177617625718 0.000366411182079464 0.0126080194408064
VIT_14s0066g01480 -1.78377741212952 2.94373358582256 0.000367301053996923 0.0126080194408064
VIT_19s0090g01160 -3.22627942034134 1.64019646263017 0.000370771073553709 0.0127087929361608
VIT_02s0025g00320 -3.56450288668464 -0.782953655981778 0.000373966765486773 0.0127998869315098
VIT_19s0015g02680 -2.75843654184025 7.32756466885205 0.000378511832330733 0.0128997700107213
VIT_02s0025g03780 -2.18818634894895 2.82094125792712 0.000391613379265168 0.0131950411699148
VIT_18s0001g13790 -1.70165850563939 5.92064548392946 0.000401014630126034 0.0134183930715062
VIT_10s0003g00820 -3.27922743207603 -2.22910810482306 0.00040244810903432 0.0134269784259585
VIT_02s0087g00370 -4.20074432471067 -0.0435491867142584 0.000409248268695232 0.0135966449940254
VIT_00s0179g00380 -2.34987808039501 -0.160096037790478 0.000415551576747596 0.0137484574515602
VIT_15s0046g02100 -3.66115681051593 -2.38250540273256 0.000418757736963591 0.0138352903429026
VIT_05s0062g01310 -3.27111534638618 0.751884054960641 0.000429214078300324 0.0140741255037545
VIT_06s0004g07400 -2.12815678001546 -0.781666429829581 0.000435783926917877 0.0141613709704263
VIT_12s0134g00030 -3.56200611187819 1.36069587808723 0.000443740064834508 0.014322508361307
VIT_18s0041g00900 -3.257000874144 2.9704570853216 0.000451836291730593 0.0144855548621123
VIT_08s0040g02110 -2.23559649439981 -1.33710057539067 0.00045313972504172 0.0145077897433276
VIT_02s0154g00280 -4.55769641368647 0.121659102704223 0.000454526951488344 0.0145326439811891
VIT_16s0100g00230 -3.32747841859856 3.47518179033315 0.000459287105539986 0.0145773185208232
VIT_10s0071g00430 -2.44651855593016 1.03166937437487 0.000462014917746013 0.014614908062955
VIT_08s0007g06870 -3.24681464896008 1.20530089111823 0.000478829322038976 0.0150071039692532
VIT_17s0000g01290 -1.54232540609895 5.15542852918134 0.000493392894992279 0.0153409025324038
VIT_18s0041g00970 -2.15724032318749 -0.223641671197156 0.000493994086927078 0.0153409025324038
VIT_18s0001g14760 -1.90436557056133 -0.131715635422365 0.000495321958697228 0.0153556785740047
VIT_06s0004g04120 -2.09297792765472 3.10626108585118 0.000507544419496635 0.0156392055064585
VIT_07s0031g01720 -2.29792321195707 -0.753031745576885 0.000509676451513821 0.0156845839956155
VIT_05s0094g01050 -1.60010296806589 -1.85187856724269 0.000529924502513388 0.0160674821399834
VIT_17s0000g06410 -3.21291539005401 0.43595176157033 0.000560076104959744 0.0166438583977941
VIT_04s0008g02350 -2.96835379391538 4.79845201622089 0.00056590047285783 0.0167433338909727
VIT_08s0007g06610 -2.97208651490105 -1.59136361441392 0.000568473353603317 0.0167777222525009
VIT_04s0008g00120 -2.76132011963217 2.64440111827788 0.000578633750238735 0.0169305530758659
VIT_03s0088g00680 -2.82208597279604 3.95196671381478 0.000598403202613015 0.0174000720665065
VIT_13s0158g00080 -1.97824545419492 3.54584842931244 0.00061118393886416 0.0176228406517583
VIT_01s0026g01840 -4.9649645639255 -1.78446099968248 0.000614867017421394 0.0176861627695527
