logFC logCPM PValue FDR
VIT_15s0046g00480 -3.24645081692777 5.85678444355947 6.2655683281712e-09 7.45226696952683e-05
VIT_12s0028g00070 -6.57664243060975 1.52608821609299 6.12386351722303e-07 0.00161860517053002
VIT_01s0137g00030 -5.50104096170155 0.926117101488802 1.52255884885964e-06 0.00329260271787938
VIT_03s0038g01460 -5.55885303538162 3.23415873581399 3.35049060582464e-06 0.00596333790822421
VIT_13s0067g01370 -1.7814785337129 2.28917839304719 4.2355934746372e-06 0.00629726859841685
VIT_15s0021g02170 -10.6015988152151 3.20651900595839 4.61449838278247e-06 0.00645704044291938
VIT_07s0104g00280 -7.06134512929772 1.79019075837149 1.45944836862537e-05 0.0182722935751896
VIT_18s0001g14770 -4.37304534990453 3.37023055207618 2.03416849478758e-05 0.0230422857876224
VIT_08s0040g02190 -3.25536368433657 3.17168394133881 2.2902229295166e-05 0.0236868795858004
VIT_11s0037g00650 -5.15048973399992 0.391729555151244 2.59772340989182e-05 0.0247256168604879
VIT_02s0025g04460 -6.17748497045025 3.74334630040268 2.63753346091682e-05 0.0247256168604879
VIT_03s0038g04220 -4.85356497668185 3.14448335366484 2.80642195742885e-05 0.0247256168604879
VIT_16s0100g00400 -3.39964466318804 5.50491437599856 3.00932250322506e-05 0.0255663441809706
VIT_18s0122g01460 -4.68474952649263 4.60744091803876 4.84548481152094e-05 0.0384214642321534
VIT_03s0063g00450 -5.48559033421289 1.03555308399963 7.14839841941114e-05 0.0472350282224868
