logFC logCPM PValue FDR
VIT_01s0137g00240 -4.18667391604124 7.06742914242487 1.06927606336352e-20 2.54359389952913e-16
VIT_18s0001g00470 -2.98401115950151 7.50637865056752 1.17706484681477e-17 1.40000092880149e-13
VIT_09s0002g04840 -3.33964768682892 4.2215158664998 9.50998747323372e-16 7.54078606710945e-12
VIT_09s0002g02230 -2.67057898103194 4.18180293527675 5.39308869315145e-14 3.20726984581716e-10
VIT_19s0015g00340 -1.88316923776436 4.51235535010041 1.87956183862157e-13 8.942203403426e-10
VIT_04s0008g05640 -3.28226347616085 6.41504053955361 3.11823769252038e-13 1.23627730382791e-09
VIT_09s0002g04020 -1.9456661304409 7.96571433918315 5.07577404055074e-13 1.72489304109459e-09
VIT_09s0018g00520 -3.08935849829949 4.44093111217779 6.05789088578776e-13 1.80131385488899e-09
VIT_18s0001g05040 -1.80818814058006 7.64141193764034 2.56980527643088e-12 6.79228087952643e-09
VIT_03s0091g00420 -2.92700496870614 7.99039686046192 3.50759845583826e-12 8.34387520674806e-09
VIT_11s0016g04190 -1.92003550970494 8.99175241320021 1.51236803092804e-11 3.2705646108833e-08
VIT_15s0048g02430 -4.68851691798107 0.467923455528343 2.84945398256939e-11 5.64856761144673e-08
VIT_02s0154g00300 -3.80223391386152 3.6744360979099 6.76550082779434e-11 1.23798256685825e-07
VIT_02s0154g00260 -2.95962262588321 4.47832708263154 8.84040840060872e-11 1.502111678812e-07
VIT_03s0180g00090 -1.83546906048208 4.9839026892743 2.30589283563652e-10 3.22662228083068e-07
VIT_06s0004g01750 -2.66360152218264 5.55432147443173 3.0730068927076e-10 4.06114933131825e-07
VIT_03s0017g02260 -3.083983392742 6.92666439980475 3.94569805650489e-10 4.71851606505969e-07
VIT_14s0083g00370 -3.1125374036354 3.5111560664219 3.96713978901942e-10 4.71851606505969e-07
VIT_04s0008g03550 -4.82303800697519 3.69103758815251 4.30501970854997e-10 4.87656232509461e-07
VIT_06s0061g01380 -3.18612170680441 5.09763101746518 5.88189236038171e-10 6.0834111073374e-07
VIT_02s0012g00990 -2.67270942797729 4.9105054645281 7.66985683712722e-10 7.60210643506593e-07
VIT_04s0008g04150 -3.28996404502414 2.95576569623085 8.43884500271751e-10 8.02972979698576e-07
VIT_09s0070g00480 -2.28311511256962 6.67801274680072 8.90698287870859e-10 8.14920418148923e-07
VIT_04s0008g03570 -2.3196157387374 2.51699347009094 1.0986757889464e-09 9.67974061757667e-07
VIT_16s0022g01430 -2.71895618641542 7.23038871965469 2.42764097384993e-09 2.06245441021222e-06
VIT_00s0533g00050 -1.70161648033714 7.72697756637986 3.4167572949144e-09 2.80268353556634e-06
VIT_02s0025g02410 -1.58237564449044 4.41747431821607 3.84544709190472e-09 3.04918318074098e-06
VIT_06s0004g04640 -2.58596876441348 8.38598749281941 5.93008833843236e-09 4.40827941858215e-06
VIT_13s0067g01150 -1.65742726086484 5.10370084456084 9.37979653777213e-09 6.56254706001539e-06
VIT_13s0019g00240 -1.55811471450586 3.19132164438637 9.90914127729267e-09 6.73481864869251e-06
VIT_18s0089g00010 -2.45436266221435 4.14948164099 1.0456609052304e-08 6.90949489267243e-06
VIT_18s0001g12970 -2.38508645603364 3.17140112064049 1.29818113771852e-08 8.3462521362292e-06
VIT_14s0068g00330 -1.58303284655403 4.3712417776058 3.43101756775449e-08 2.04042614754359e-05
VIT_14s0083g00080 -1.91587613906769 5.17613532457078 4.29001611538309e-08 2.37327682215658e-05
VIT_12s0055g00290 -2.09420200115621 4.07658955432529 5.70270266145127e-08 3.01457535356895e-05
VIT_18s0001g05840 -1.67978596655106 5.07602943851346 8.48738556185237e-08 4.28794077508911e-05
VIT_01s0127g00540 -2.14185692859257 7.99920581457482 8.65231029108278e-08 4.28794077508911e-05
VIT_13s0067g00110 -1.82731792491557 5.02050655761682 9.25384716342267e-08 4.49245951680609e-05
VIT_04s0008g01860 -3.14462479809303 2.50127559709877 1.02389492007844e-07 4.77576712918156e-05
VIT_16s0050g00240 -2.2993681220609 2.34311526466014 1.1678445988261e-07 5.23331656446488e-05
VIT_04s0008g05010 -1.72347198486484 11.2548095059804 1.2510191727372e-07 5.4107716511041e-05
VIT_15s0021g00880 -2.27605504611097 3.01193526976807 1.46138651562834e-07 6.20776114888694e-05
VIT_09s0002g01060 -1.79544474657498 2.44055191651897 1.55353981893099e-07 6.41166340904776e-05
VIT_01s0127g00560 -1.82058481209221 8.9451951603836 1.56329442460388e-07 6.41166340904776e-05
VIT_13s0067g01450 -2.10056216921018 5.88044413290928 1.69964753080674e-07 6.85274838353062e-05
VIT_17s0000g03780 -1.66582983848684 2.96444048469221 1.93615336667272e-07 7.55036332564108e-05
VIT_15s0046g01380 -2.2053646775505 1.05101649696913 2.07170032628138e-07 7.78510138640296e-05
VIT_14s0006g02530 -1.87880706956317 3.74051723174938 2.0945287066159e-07 7.78510138640296e-05
VIT_14s0006g02140 -1.60542822035814 4.25886153708997 2.61087920125126e-07 9.13346977049484e-05
VIT_08s0007g00440 -2.47666880251194 6.26925220523179 2.86890693966055e-07 9.89066062038335e-05
VIT_02s0154g00070 -2.30914025569575 5.47321123180177 3.87034812845731e-07 0.000129673015886961
VIT_15s0046g01450 -2.67061639130558 3.93684351637569 4.0111447225305e-07 0.000132523764804938
VIT_02s0025g01080 -1.64128766311313 6.8495781117841 8.29197344449374e-07 0.000256168135451451
