logFC logCPM PValue FDR
VIT_18s0001g02740 -7.60825885252684 7.94355187812298 1.83249053066066e-44 3.9628440675778e-41
VIT_06s0009g00690 -4.52688164296756 6.56440822998578 1.02224808455309e-39 1.27985460186047e-36
VIT_12s0034g01210 -3.68069129438264 4.32604935821432 2.72187886819948e-38 2.94309338712405e-35
VIT_01s0146g00110 -2.55746661203869 5.91476929644633 1.75671845831252e-37 1.67155274745353e-34
VIT_03s0063g00160 -1.87254081016643 6.03204852463155 3.85655320683299e-36 3.39776621052382e-33
VIT_11s0016g05610 -2.62461838791251 4.2575384854931 1.29692367579796e-34 1.06383518620282e-31
VIT_14s0081g00010 -5.49483418497116 6.94172235350993 7.20210396508805e-34 5.52656932650047e-31
VIT_18s0075g00250 -7.1731670250021 6.68723923989565 4.20809780128661e-33 2.94418324991194e-30
VIT_11s0016g03210 -3.19345247485513 8.98841994584051 8.6837325576073e-33 5.90196085943893e-30
VIT_14s0006g01410 -2.87290008739474 5.39033611489565 4.48367203075456e-32 2.66643975668974e-29
VIT_01s0011g03080 -2.7082153004392 4.66490111702412 4.9205855053057e-32 2.85489970732225e-29
VIT_08s0007g09010 -1.61134998008114 6.48724642092806 3.38510513022111e-31 1.71329533697233e-28
VIT_19s0177g00340 -6.1409076666133 4.81878110986046 6.7476298990649e-31 3.14730627527364e-28
VIT_08s0007g02790 -4.28158435501589 4.86293265851394 3.22259424755289e-30 1.47421292232285e-27
VIT_01s0026g02640 -3.35557369719283 3.53994420195571 6.18340682278555e-30 2.67437966364405e-27
VIT_18s0089g01390 -3.63793223869178 4.14078500716973 6.52236218550314e-30 2.77060627979908e-27
VIT_10s0003g02660 -1.95658297601688 5.07802014239591 3.62166680452822e-29 1.41233131059209e-26
VIT_19s0085g00880 -2.07961026846939 8.27242774568377 3.75843673451087e-29 1.44202730710556e-26
VIT_18s0089g00860 -3.32092431877779 4.47267043879947 6.3106205451783e-29 2.34557877388596e-26
VIT_07s0141g00290 -4.61669905413444 5.98977005593505 8.08929889177437e-29 2.91557942481104e-26
VIT_06s0009g03450 -2.13980536782004 5.8107014064151 2.64157560825045e-28 9.10692761870458e-26
VIT_13s0019g02730 -5.20005354193157 6.37254789715327 3.40560287940033e-28 1.12517335132188e-25
VIT_18s0001g04760 -3.314858388325 3.84256324583478 7.20678269987205e-28 2.28579929152742e-25
VIT_04s0008g05010 -7.38586316045751 11.2548095059804 1.01340478849665e-27 3.17195698799452e-25
VIT_18s0001g10460 -2.61739274653899 4.96034823148741 2.17768064765289e-27 6.72761912290479e-25
VIT_02s0236g00040 -5.34205605552292 3.85781437144675 2.5593265612475e-27 7.80528977422508e-25
VIT_02s0154g00040 -6.56268761913069 3.76829133326335 4.32714566432541e-27 1.25529440320699e-24
VIT_14s0108g00430 -3.87866478252122 7.3229278301322 4.62741729674754e-27 1.32622894765097e-24
VIT_14s0060g01430 -3.42334996281175 5.52463763718558 1.12537813424157e-26 3.07663947507743e-24
VIT_10s0003g04490 -3.12935774155184 5.62168190545133 1.3542344345383e-26 3.57939208097746e-24
VIT_12s0055g00490 -2.30193487691372 5.38686502640024 1.68048976070537e-26 4.25271174762334e-24
VIT_11s0052g00020 -2.46668226383105 7.04170898509566 4.42022520935785e-26 1.05148317280204e-23
VIT_13s0064g00460 -7.90458830138822 9.43553579175463 5.62133938247972e-26 1.31098452186694e-23
VIT_19s0014g03700 -4.57228085541562 7.98487834387673 7.86617914313002e-26 1.79928933465907e-23
VIT_08s0007g00530 -2.52177710728683 7.64188009549866 1.08543986878801e-25 2.36884803658066e-23
VIT_16s0050g02350 -3.87957538140678 6.03493875005898 1.21121203414643e-25 2.61930107893411e-23
VIT_06s0080g00250 -3.6290894426887 4.98740724427154 1.63623683024096e-25 3.46852365109591e-23
VIT_13s0019g02360 -2.44207544495852 7.49633296756239 1.7657301565671e-25 3.68449026003668e-23
VIT_10s0003g02780 -3.54598855789965 5.36012460484283 2.27219025901169e-25 4.6595570587388e-23
VIT_05s0051g00440 -2.58935288157657 5.15533349523643 3.1227241097862e-25 6.34900522423882e-23
VIT_05s0124g00020 -1.60624863531266 5.75901402267774 4.27795629151182e-25 8.6240698527528e-23
VIT_19s0014g04970 -2.83272926653429 5.28032520756476 4.88170258408753e-25 9.59718521241936e-23
VIT_08s0007g07200 -2.61187555258017 4.12806800766423 6.28494973410336e-25 1.22192584104593e-22
VIT_00s0207g00210 -5.11880647453314 8.36590533594538 6.36520682219334e-25 1.22192584104593e-22
VIT_15s0046g02230 -3.4748007102634 8.04123990609859 1.38079437381319e-24 2.56808408474429e-22
VIT_01s0011g04760 -2.35869250133182 5.5384143272458 1.38185119744102e-24 2.56808408474429e-22
VIT_18s0001g05040 -5.26193370376296 7.64141193764034 1.76855993358068e-24 3.26127935659048e-22
VIT_07s0005g05510 -4.98634810355684 5.36971504266123 2.60173374355333e-24 4.584447577159e-22
VIT_10s0003g03090 -2.92263371247159 4.1205041247439 4.02085355806562e-24 6.93101916226558e-22
VIT_11s0037g00930 -2.57691685479176 5.75612023398644 4.96789443588701e-24 8.50189013243743e-22
VIT_06s0004g06100 -3.39994862241115 6.34324966506221 8.72407599213073e-24 1.43122979104004e-21
VIT_01s0146g00120 -2.801072246688 3.88267822741302 1.08966455469217e-23 1.76332928074947e-21
VIT_14s0068g00800 -1.94178813077947 6.10343971884995 1.79328665690866e-23 2.86300020097605e-21
VIT_00s0204g00170 -2.45315144217291 6.78315923023065 1.87401814410358e-23 2.9719429074624e-21
VIT_14s0128g00330 -2.33301441027812 4.8430069502669 2.15333035430705e-23 3.34793610903635e-21
VIT_05s0020g03370 -2.33623752367515 5.26795296880451 2.26351085942402e-23 3.49638937168692e-21
