logFC logCPM PValue FDR
VIT_11s0016g05590 -5.76692279618142 3.60099089922442 7.97214377947506e-28 6.32137854087176e-24
VIT_11s0016g02210 -3.74548513288634 2.67139066486114 9.20127872764525e-27 4.88138035241002e-23
VIT_16s0022g02190 -7.4994730551938 4.03957554557781 1.02601739373004e-26 4.88138035241002e-23
VIT_05s0029g00050 -4.96509173323366 -0.411374136800062 1.43508826073907e-23 5.68964659107682e-20
VIT_10s0042g00940 -5.97614617682597 3.41352806648493 8.26374613152957e-21 2.45722491221032e-17
VIT_00s0199g00250 -3.90554559245371 4.41604698666151 3.19945357413842e-20 8.40172251246797e-17
VIT_03s0063g01440 -7.31540557376622 1.74167975552642 3.5319163075786e-20 8.40172251246797e-17
VIT_00s0199g00200 -9.59003655250608 -0.878882278746872 2.2029093567589e-19 4.76389161623461e-16
VIT_04s0008g00880 -3.65503925685363 3.89331378824228 1.81027254685906e-18 3.58856361205694e-15
VIT_01s0011g00140 -6.92930612203703 1.74246233540549 5.98984952786301e-18 1.0177610040629e-14
VIT_16s0022g02290 -6.58956466739043 0.569442790783718 1.69986622957715e-17 2.69576119127876e-14
VIT_18s0001g02400 -8.84917687767723 6.84331617352076 2.79200642541772e-17 4.15101555298979e-14
VIT_01s0011g01200 -8.35032355167954 2.43879943372383 1.02544788144322e-16 1.28386074756692e-13
VIT_04s0008g01820 -3.31611711880749 0.00398364302805328 1.72117771962504e-15 1.84868415805902e-12
VIT_09s0002g01350 -3.77878418580201 4.58088546677953 7.52129924945374e-15 6.69208427671701e-12
VIT_07s0005g00380 -5.42788952196014 -0.146644239397971 2.7376251689998e-14 2.15352663897498e-11
VIT_00s0337g00090 -6.9710838305481 1.59578859431175 5.15292417437276e-14 3.83055500812435e-11
VIT_18s0001g11390 -2.69571484000869 1.32369462240303 8.68440517745915e-14 5.76632423322068e-11
VIT_17s0000g09010 -3.94056543567478 0.444602858057243 9.18603545373773e-14 5.90587598306792e-11
VIT_19s0014g03940 -5.89320216604225 1.09025433687354 1.57675759623759e-13 9.87050255244733e-11
VIT_06s0080g00360 -4.91215164673274 3.68839747348562 2.84956756992553e-13 1.67422488510878e-10
VIT_01s0011g03230 -2.89189266400037 2.64243559956971 2.88562385612326e-13 1.67422488510878e-10
VIT_03s0063g01990 -4.04482124652973 1.29081856937124 3.06843871431669e-13 1.73790524133727e-10
VIT_18s0001g02410 -8.17313030416254 5.34572716791837 3.31561196353098e-13 1.83422738112733e-10
VIT_14s0083g00150 -5.77849045100731 1.57302667247785 4.41433094087066e-13 2.3865478277598e-10
VIT_18s0122g00800 -4.4049309973831 1.35864141697265 7.70509473108729e-13 3.98453898832836e-10
VIT_10s0003g03940 -9.42671190666021 0.796902023210609 1.05066453080265e-12 5.10065466504764e-10
VIT_07s0005g03750 -4.76526761681427 2.2826225054452 1.38647548055835e-12 6.59629574630439e-10
VIT_16s0022g01570 -8.02340481325369 3.10468906784923 1.67962202402134e-12 7.83428406027837e-10
VIT_18s0001g01390 -10.1516481040323 2.11508393587312 1.88491458806256e-12 8.62275927323698e-10
VIT_04s0008g04870 -4.66973826829329 1.10352648406322 3.69785265388999e-12 1.57079498090598e-09
VIT_00s0187g00260 -5.60292715334911 -0.988126264340737 5.09026956255928e-12 2.12433916410807e-09
VIT_03s0038g03600 -3.97497111042648 1.73623388539496 1.42934876744879e-11 5.57399155411014e-09
VIT_01s0011g03100 -3.47624198271214 -0.950612793472819 1.58241987417626e-11 5.8816568698289e-09
VIT_19s0015g01500 -6.56254240857768 0.687138399392239 4.21978949169024e-11 1.47618165335776e-08
VIT_12s0059g01410 -5.79913351773587 1.32672242879306 4.79727697799504e-11 1.63025178217923e-08
VIT_07s0255g00080 -9.60586560349486 1.20719967677031 8.93107718694332e-11 2.8326995216401e-08
VIT_00s1530g00010 -10.6121033251388 1.19924523469 1.18879408784294e-10 3.72092549494841e-08
VIT_03s0038g03420 -5.87239518565622 2.22397291814641 1.94642508403272e-10 6.01318959726888e-08
VIT_11s0016g01250 -4.15503055080962 3.12464813158268 7.17025860133135e-10 2.08007453181061e-07
VIT_02s0012g00110 -3.87018103557846 1.18881743909822 1.03624587120636e-09 2.833358251064e-07
VIT_12s0057g01460 -4.05337988045756 1.98816686026596 1.07291144120105e-09 2.89450159703993e-07
VIT_19s0014g02200 -4.80110917405966 2.70354002222888 1.2360212752706e-09 3.26694156623744e-07
VIT_05s0020g04050 -2.30916211539111 1.37452800096416 2.03418806423725e-09 4.83892656720757e-07
VIT_07s0031g02650 -2.12298707050957 0.132539950440971 2.25487279395189e-09 5.25871706103211e-07
VIT_12s0059g02680 -3.74028938721325 -1.39353214851328 3.34926393061029e-09 7.30938443865665e-07
VIT_17s0000g00150 -5.23680247659513 2.32687289308663 4.66199679466993e-09 9.99095313077551e-07
VIT_01s0011g01410 -5.13461543224925 2.20804282252055 4.8935258204439e-09 1.03934993050642e-06
VIT_00s0204g00030 -3.7987258449866 0.762506378373835 5.04892068488657e-09 1.06286482523966e-06
VIT_08s0007g03480 -2.98347561286783 1.70660317283575 5.14652707941908e-09 1.07390865057211e-06
VIT_09s0002g04040 -4.19804840818324 1.43181030035572 6.58470858484103e-09 1.32743260861185e-06
VIT_06s0004g03780 -6.06164546410908 -0.380540674607809 7.56551971546075e-09 1.51234103354101e-06
VIT_13s0064g01060 -2.59931999624265 0.757160059188286 1.15937806298097e-08 2.18883217160249e-06
VIT_07s0031g02050 -4.7182379818714 2.24666317938878 1.38843706525787e-08 2.54062622371956e-06
VIT_00s0301g00040 -3.35824067148893 6.15883136153852 1.45473328034581e-08 2.64161795976078e-06
VIT_05s0094g01030 -2.51198539375426 3.11616409665493 1.54665818107359e-08 2.76630863243449e-06
VIT_04s0008g01840 -6.01841036419252 -0.327678884369049 1.60626136644197e-08 2.82419146778862e-06
VIT_04s0008g04810 -6.15822607321889 1.11063725857849 2.21208966675632e-08 3.78569704984168e-06
VIT_03s0097g00390 -5.9639176737533 1.48197925425344 2.473819168716e-08 4.20337217038688e-06
VIT_04s0008g02310 -2.64836720207153 1.1669665818896 2.63359704555513e-08 4.38097947689967e-06
